proj_code,order_date,order_code,order_code2,cust_code,no_cli,co_obr,de_obr,obra_latitud,obra_longitud,tkt_code,guia,pivot_plant_code,pivot_plant_name,pivot_plant_latitud,pivot_plant_longitud,plant_code,plant_name,plant_latitud,plant_longitud,truck_code,short_prod_descr,delv_qty,descr,to_job_time,on_job_time,begin_unld_time,end_unld_time,to_plant_time,at_plant_time,tiempo_a_obra,tiempo_espera,tiempo_vaciado,tiempo_salida,tiempo_a_planta,order_qty,start_time,frecuencia,prod_code,truck_type,load_num,tamaño_de_carga,sched_num
233648,2021-01-08 00:00:00,1,1,16012,FINANZAS SAAVEDRA Y ASOCIADOS S.L.L.,OV38,EDIFICIO RAMBLA DE VILMA MOLINS,-12.280231035737428,-77.11925144714856,2235615,407-2235615,SJN,Planta San Juan,-12.146795,-76.980005,CAL,Planta Callao,-12.066667,-77.15,558,1175N47B,7.0,Losa,2021-01-08 10:00:00,2021-01-08 11:08:41,2021-01-08 12:55:09,2021-01-08 13:08:11,2021-01-08 13:09:18,2021-01-08 14:11:24,68.7,106.5,13.0,1.1,62.1,9.3,2021-01-08 10:00:00,60,124850,C10,1,7,1
233648,2021-01-08 00:00:00,1,1,16012,FINANZAS SAAVEDRA Y ASOCIADOS S.L.L.,OV38,EDIFICIO RAMBLA DE VILMA MOLINS,-12.280231035737428,-77.11925144714856,2495158,435-2495158,SJN,Planta San Juan,-12.146795,-76.980005,SJ3,Planta San Juan 3,-12.146795,-76.980005,624,1175N47B,2.3,Losa,2021-01-08 11:00:00,2021-01-08 11:49:26,2021-01-08 13:36:56,2021-01-08 13:43:09,2021-01-08 13:46:36,2021-01-08 14:41:51,49.4,107.5,6.2,3.5,55.3,9.3,2021-01-08 10:00:00,60,124850,C10,2,7,1
247856,2021-04-19 00:00:00,2,2,14223,DESARROLLO INTERNACIONALES S.L.N.E,PU85,EDIFICIO CALLE DE LUÍS NOGUEIRA,-12.210904645884668,-76.88920990376212,2828381,450-2828381,SJ3,Planta San Juan 3,-12.146795,-76.980005,SJ3,Planta San Juan 3,-12.146795,-76.980005,712,1280N67B,9.0,Escalera,2021-04-19 10:00:00,2021-04-19 10:40:29,2021-04-19 11:56:44,2021-04-19 12:21:09,2021-04-19 12:29:56,2021-04-19 13:03:53,40.5,76.2,24.4,8.8,33.9,19.7,2021-04-19 10:00:00,60,124699,C9,1,9,1
247856,2021-04-19 00:00:00,2,2,14223,DESARROLLO INTERNACIONALES S.L.N.E,PU85,EDIFICIO CALLE DE LUÍS NOGUEIRA,-12.210904645884668,-76.88920990376212,2691998,428-2691998,SJ3,Planta San Juan 3,-12.146795,-76.980005,SJ3,Planta San Juan 3,-12.146795,-76.980005,750,1280N67B,9.0,Escalera,2021-04-19 11:00:00,2021-04-19 11:28:04,2021-04-19 13:31:09,2021-04-19 13:47:49,2021-04-19 13:51:31,2021-04-19 14:19:24,28.1,123.1,16.7,3.7,27.9,19.7,2021-04-19 10:00:00,60,124699,C8,2,9,1
247856,2021-04-19 00:00:00,2,2,14223,DESARROLLO INTERNACIONALES S.L.N.E,PU85,EDIFICIO CALLE DE LUÍS NOGUEIRA,-12.210904645884668,-76.88920990376212,2337408,436-2337408,SJ3,Planta San Juan 3,-12.146795,-76.980005,SJ3,Planta San Juan 3,-12.146795,-76.980005,596,1280N67B,1.7,Escalera,2021-04-19 12:00:00,2021-04-19 12:28:59,2021-04-19 13:20:46,2021-04-19 13:26:20,2021-04-19 13:32:14,2021-04-19 13:59:08,29.0,51.8,5.6,5.9,26.9,19.7,2021-04-19 10:00:00,60,124699,C8,3,9,1
241270,2021-06-05 00:00:00,3,3,15667,GEMA ARIAS BOU S.L.,OW68,EDIFICIO GLORIETA DE SOL CASAL,-12.08188595427265,-76.85806527080618,2404832,431-2404832,VSM,Planta Villa El Salvador,-12.210833,-76.941111,VSM,Planta Villa El Salvador,-12.210833,-76.941111,839,1350N77B,9.0,Losa,2021-06-05 08:00:00,2021-06-05 08:49:03,2021-06-05 08:55:36,2021-06-05 09:18:17,2021-06-05 09:25:38,2021-06-05 10:19:52,49.1,6.5,22.7,7.3,54.2,32.2,2021-06-05 08:00:00,45,125001,C8,1,9,1
241270,2021-06-05 00:00:00,3,3,15667,GEMA ARIAS BOU S.L.,OW68,EDIFICIO GLORIETA DE SOL CASAL,-12.08188595427265,-76.85806527080618,2886088,433-2886088,VSM,Planta Villa El Salvador,-12.210833,-76.941111,VSM,Planta Villa El Salvador,-12.210833,-76.941111,725,1350N77B,9.0,Losa,2021-06-05 08:45:00,2021-06-05 09:39:44,2021-06-05 09:58:40,2021-06-05 10:24:13,2021-06-05 10:28:12,2021-06-05 11:09:16,54.7,18.9,25.5,4.0,41.1,32.2,2021-06-05 08:00:00,45,125001,C7,2,9,1
241270,2021-06-05 00:00:00,3,3,15667,GEMA ARIAS BOU S.L.,OW68,EDIFICIO GLORIETA DE SOL CASAL,-12.08188595427265,-76.85806527080618,2078463,421-2078463,VSM,Planta Villa El Salvador,-12.210833,-76.941111,VSM,Planta Villa El Salvador,-12.210833,-76.941111,740,1350N77B,9.0,Losa,2021-06-05 09:30:00,2021-06-05 10:23:06,2021-06-05 10:25:24,2021-06-05 10:40:16,2021-06-05 10:49:07,2021-06-05 11:52:03,53.1,2.3,14.9,8.8,62.9,32.2,2021-06-05 08:00:00,45,125001,C9,3,9,1
241270,2021-06-05 00:00:00,3,3,15667,GEMA ARIAS BOU S.L.,OW68,EDIFICIO GLORIETA DE SOL CASAL,-12.08188595427265,-76.85806527080618,2559543,440-2559543,VSM,Planta Villa El Salvador,-12.210833,-76.941111,VSM,Planta Villa El Salvador,-12.210833,-76.941111,694,1350N77B,5.2,Losa,2021-06-05 10:15:00,2021-06-05 10:59:29,2021-06-05 11:59:06,2021-06-05 12:05:33,2021-06-05 12:09:30,2021-06-05 12:55:39,44.5,59.6,6.4,4.0,46.1,32.2,2021-06-05 08:00:00,45,125001,C9,4,9,1
237628,2021-01-27 00:00:00,4,4,19455,SOLA Y BARBERÁ S.L.,PL68,EDIFICIO ALAMEDA ANA BELÉN GIL,-12.0321577778678,-77.04055034630898,2094769,448-2094769,VSM,Planta Villa El Salvador,-12.210833,-76.941111,SJN,Planta San Juan,-12.146795,-76.980005,722,1210N57B,9.0,Columna,2021-01-27 08:00:00,2021-01-27 08:38:23,2021-01-27 09:13:36,2021-01-27 09:35:30,2021-01-27 09:39:05,2021-01-27 10:10:20,38.4,35.2,21.9,3.6,31.2,37.5,2021-01-27 08:00:00,30,125069,C7,1,9,1
