proj_code,order_date,order_code,cust_code,no_cli,co_obr,de_obr,obra_latitud,obra_longitud,start_time,prod_code,short_prod_descr,elemento,frecuencia,tamaño_de_carga,order_qty,delv_qty,promedio_tiempo_a_obra,promedio_tiempo_espera,promedio_tiempo_vaciado,promedio_tiempo_salida,promedio_tiempo_a_planta
233648,2021-01-08 00:00:00,1,16012,FINANZAS SAAVEDRA Y ASOCIADOS S.L.L.,OV38,EDIFICIO RAMBLA DE VILMA MOLINS,-12.280231035737428,-77.11925144714856,2021-01-08 10:00:00,124850,1175N47B,Losa,60,7,9.3,9.3,59.05,107.0,9.6,2.3,58.7
247856,2021-04-19 00:00:00,2,14223,DESARROLLO INTERNACIONALES S.L.N.E,PU85,EDIFICIO CALLE DE LUÍS NOGUEIRA,-12.210904645884668,-76.88920990376212,2021-04-19 10:00:00,124699,1280N67B,Escalera,60,9,19.7,19.7,32.53,83.7,15.57,6.13,29.57
241270,2021-06-05 00:00:00,3,15667,GEMA ARIAS BOU S.L.,OW68,EDIFICIO GLORIETA DE SOL CASAL,-12.08188595427265,-76.85806527080618,2021-06-05 08:00:00,125001,1350N77B,Losa,45,9,32.2,32.2,50.35,21.82,17.38,6.02,51.08
237628,2021-01-27 00:00:00,4,19455,SOLA Y BARBERÁ S.L.,PL68,EDIFICIO ALAMEDA ANA BELÉN GIL,-12.0321577778678,-77.04055034630898,2021-01-27 08:00:00,125069,1210N57B,Columna,30,9,37.5,37.5,26.58,67.32,17.96,3.44,23.7
242433,2021-03-12 00:00:00,5,14196,FONT Y CARRILLO S.A.,PL17,EDIFICIO CUESTA JAFET AMO,-12.235475964017947,-77.1403699268288,2021-03-12 16:00:00,125069,1210N57B,Muro/Placa,45,7,16.9,16.9,78.7,36.07,14.5,5.7,77.2
245035,2021-02-07 00:00:00,6,15679,VELASCO Y ASOCIADOS S.COOP.,OV41,EDIFICIO C. ALBA ROLDÁN,-11.977505508954197,-76.98830681309981,2021-02-07 09:00:00,124850,1175N47B,Muro/Placa,60,9,17.2,17.2,38.65,73.5,22.25,6.7,36.2
235242,2021-06-25 00:00:00,7,20833,MELÉNDEZ & ASOCIADOS S.COOP.,OW59,EDIFICIO CALLE DE APOLONIA CHAMORRO,-12.15919035674673,-76.85116358592796,2021-06-25 15:00:00,124850,1175N47B,Columna,20,7,36.6,36.6,33.62,66.4,15.02,5.18,34.78
235182,2021-04-28 00:00:00,8,7106,FAMILIA TORRENT S.COOP.,PL74,EDIFICIO RAMBLA BELEN GRANDE,-11.969018900473968,-76.99769549761871,2021-04-28 09:00:00,124993,1210N67B,Escalera,45,8,14.4,14.4,49.75,70.1,16.0,3.25,51.6
240621,2021-05-07 00:00:00,9,7638,TALLERES CÁCERES S.L.N.E,OW56,EDIFICIO CALLEJÓN BAUDELIO LAGO,-11.910639061088407,-76.90050034119164,2021-05-07 08:00:00,125069,1210N57B,Viga,20,8,44.9,44.9,65.8,59.7,17.85,3.45,58.73
234120,2021-02-03 00:00:00,10,22574,MARTORELL Y QUEVEDO S.A.,OV43,EDIFICIO CALLEJÓN DE SAMUEL SERRA,-12.086163106290872,-76.96802182475521,2021-02-03 12:00:00,124699,1280N67B,Zapata,30,9,24.8,24.8,39.37,78.67,16.1,6.87,38.57
241078,2021-01-07 00:00:00,11,14540,GLORIA SARMIENTO SAINZ S.L.,OV10,EDIFICIO CALLEJÓN ROMÁN QUINTANILLA,-12.314503456995483,-76.96066911281896,2021-01-07 10:00:00,124699,1280N67B,Losa,20,9,11.0,11.0,58.05,34.95,16.15,2.8,46.5
248711,2021-05-29 00:00:00,12,22488,HNOS MARTI S.L.,OV70,EDIFICIO CALLEJÓN CASEMIRO QUINTANILLA,-11.946251501116677,-77.09287702569144,2021-05-29 14:00:00,124993,1210N67B,Escalera,60,9,25.8,25.8,61.97,72.17,17.73,5.13,65.63
231986,2021-04-15 00:00:00,13,18118,SOLUCIONES MOLINER Y ASOCIADOS S.A.,OW41,EDIFICIO CUESTA DE CRISTINA RODRIGO,-12.254204963929173,-76.9891142738269,2021-04-15 08:00:00,124699,1280N67B,Muro/Placa,30,9,27.4,27.4,57.85,104.68,16.62,6.25,47.78
247713,2021-01-05 00:00:00,14,10056,SOLUCIONES HOYOS S.L.N.E,OV31,EDIFICIO PASADIZO GABINO HOZ,-12.146792971023764,-77.00559247460869,2021-01-05 13:00:00,125001,1350N77B,Losa,30,10,8.1,8.1,38.6,42.5,20.0,5.4,39.9
248211,2021-06-20 00:00:00,15,22947,FÁBRICA POZA & ASOCIADOS S.A.,OV34,EDIFICIO PASEO DE CUSTODIA AGUADO,-12.201646087252717,-76.85938719050925,2021-06-20 16:00:00,124850,1175N47B,Escalera,20,9,10.4,10.4,23.7,55.8,9.9,4.65,22.3
246640,2021-01-22 00:00:00,16,13089,BANCA PRIVADA OJ S.L.,OW86,EDIFICIO URBANIZACIÓN DE LORETO ARIZA,-12.316019568312122,-76.89145423940896,2021-01-22 13:00:00,125001,1350N77B,Losa,30,7,34.0,34.0,53.0,68.22,14.84,5.04,47.04
240295,2021-03-04 00:00:00,17,15703,ACUÑA Y ASOCIADOS S.L.N.E,PU26,EDIFICIO AVENIDA CRISTINA RIBES,-12.014154888520014,-77.06000087606037,2021-03-04 16:00:00,125069,1210N57B,Losa,20,10,34.1,34.1,39.42,88.12,18.55,5.05,39.95
241436,2021-01-19 00:00:00,18,15004,RESTAURACIÓN IBERIA S.L.,PL46,EDIFICIO RONDA LUIS ÁNGEL ELÍAS,-12.271126583821383,-76.89987651360805,2021-01-19 08:00:00,125069,1210N57B,Zapata,20,9,47.1,47.1,79.5,87.48,16.95,6.43,72.18
